"delay (b0=0,b1=0) X","delay (b0=0,b1=0) Y","delay (b0=0,b1=1) X","delay (b0=0,b1=1) Y","delay (b0=1,b1=0) X","delay (b0=1,b1=0) Y","delay (b0=1,b1=1) X","delay (b0=1,b1=1) Y"
0,6.694497755956659e-11,0,1.493936947086454e-09,0,8.050136771948115e-10,0,2.477940988946609e-09
1,2.85878683136686e-09,1,4.809542826882551e-09,1,3.926908686178025e-09,1,5.891825431593265e-09
