Pavg X,Pavg Y
5e-14,2.449436274644026e-06
1e-13,4.286595847131816e-06
2e-13,7.747966688735545e-06
3e-13,1.095882990159803e-05
4e-13,1.3999854959323e-05
5e-13,1.683845182834619e-05
6e-13,1.95028983826877e-05
7e-13,2.206658924479369e-05
8e-13,2.438294793103158e-05
9e-13,2.649531500944449e-05
1e-12,2.845830505896592e-05
1.1e-12,3.020547803713597e-05
1.2e-12,3.174326092993501e-05
