"/Vout (b0=0,b1=0,b2=0) X","/Vout (b0=0,b1=0,b2=0) Y","/Vout (b0=1,b1=0,b2=0) X","/Vout (b0=1,b1=0,b2=0) Y","/Vout (b0=0,b1=1,b2=0) X","/Vout (b0=0,b1=1,b2=0) Y","/Vout (b0=1,b1=1,b2=0) X","/Vout (b0=1,b1=1,b2=0) Y","/Vout (b0=0,b1=0,b2=1) X","/Vout (b0=0,b1=0,b2=1) Y","/Vout (b0=1,b1=0,b2=1) X","/Vout (b0=1,b1=0,b2=1) Y","/Vout (b0=0,b1=1,b2=1) X","/Vout (b0=0,b1=1,b2=1) Y","/Vout (b0=1,b1=1,b2=1) X","/Vout (b0=1,b1=1,b2=1) Y","/Vin (b0=0,b1=0,b2=0) X","/Vin (b0=0,b1=0,b2=0) Y"
1.50322356122478e-10,0.7695349634631017,1.600971633077425e-10,0.3428911767972491,1.60104152869496e-10,0.3429316052730695,1.658170478664478e-10,0.3139300088359799,1.601076599702087e-10,0.3429519509923912,1.658203215895277e-10,0.3139626888520273,1.658268494899546e-10,0.3140274931765513,1.685681495465604e-10,0.4513729429836344,1.50322356122478e-10,0.8267729586736289
1.521521214114521e-10,0.5596417651025287,1.620474127056992e-10,0.1864413538094974,1.620558884153142e-10,0.18641950184419,1.6831888372968e-10,0.1478283707767913,1.620601417271717e-10,0.1864086019269018,1.683229425075351e-10,0.1478332620773075,1.683310339117882e-10,0.1478428332355877,1.708322737258622e-10,0.2892772257275044,1.521521214114521e-10,0.8368366677629866
1.536921165652678e-10,0.3830332217580114,1.636970406159409e-10,0.09447579669205948,1.637062876334016e-10,0.09444917513169156,1.70260384077737e-10,0.06675419900534889,1.637109284577464e-10,0.09443585869819686,1.702648607780252e-10,0.06675243769211452,1.702737846184728e-10,0.06674883747114925,1.732701017171507e-10,0.1448470268545206,1.536921165652678e-10,0.8453066411089731
1.551325748279362e-10,0.2388712134717343,1.653350280938923e-10,0.04283169848295004,1.653448560414384e-10,0.0428143774820734,1.72123533929306e-10,0.02787507624526728,1.653497889123117e-10,0.04280570521299543,1.721283425707391e-10,0.02787296296187003,1.721379279488547e-10,0.02786870693226027,1.752058587857621e-10,0.06939598829869431,1.551325748279362e-10,0.8532291615536491
1.565204561494617e-10,0.1342513537912809,1.669638145450326e-10,0.01841616664435598,1.669747288727192e-10,0.01840171030968322,1.737469503247006e-10,0.01298021318402318,1.66980208098815e-10,0.01839446037130898,1.737519964038177e-10,0.0129793292866248,1.737620546151386e-10,0.01297754695137524,1.772760294491205e-10,0.02797951543794726,1.565204561494617e-10,0.8608625088220395
1.579779920550694e-10,0.06550472772521626,1.687563408141979e-10,0.007205698408407433,1.687677580562242e-10,0.007201269528734134,1.75644613618162e-10,0.005603705348002501,1.687734903070294e-10,0.007199048529878684,1.756499687880874e-10,0.005603728963899971,1.756606424796943e-10,0.005603766604992321,1.790164146498243e-10,0.01309813542592235,1.579779920550694e-10,0.8688789563028815
1.601213804792856e-10,0.01883880690512658,1.705153711570436e-10,0.00312598541694011,1.70527429321546e-10,0.003125327188688663,1.776298343862928e-10,0.002709771920816535,1.705334836798656e-10,0.003124998409972225,1.776354551767523e-10,0.00271039612813656,1.776466584813878e-10,0.002711633188438604,1.810901426062807e-10,0.005746157045340726,1.601213804792856e-10,0.880667592636071
1.618005527667437e-10,0.007123396666901548,1.726461716973562e-10,0.001252104253807886,1.726589702025369e-10,0.001253034788704172,1.801966827372029e-10,0.001229490117419961,1.726653964409845e-10,0.001253503329363386,1.802026852474625e-10,0.001230240647467355,1.802146501455261e-10,0.001231731140656212,1.831948370952043e-10,0.003035956306554069,1.618005527667437e-10,0.8899030402170905
1.634527621761034e-10,0.002666291419352934,1.753960336404947e-10,0.0004394301616272309,1.754103206269001e-10,0.0004403445145413315,1.836212764915575e-10,0.0004876137277566826,1.754174947119426e-10,0.0004408045704350698,1.836278256066931e-10,0.0004881666458118306,1.836408816688526e-10,0.000489265140040664,1.85935128090886e-10,0.001555130079879228,1.634527621761034e-10,0.8989901919685687
1.652446814260284e-10,0.000988687889199721,1.795474410239368e-10,8.866609091475689e-05,1.7956448355074e-10,8.906070115306417e-05,1.883747145643253e-10,0.0001292479286342022,1.795730423555244e-10,8.92592606762041e-05,1.883821704755986e-10,0.0001294924636171199,1.883970339200586e-10,0.0001299783568847273,1.895719227403612e-10,0.0007103590203835887,1.652446814260284e-10,0.9088457478431565
