"Pavg (b0=0,b1=0) X","Pavg (b0=0,b1=0) Y","Pavg (b0=0,b1=1) X","Pavg (b0=0,b1=1) Y","Pavg (b0=1,b1=0) X","Pavg (b0=1,b1=0) Y","Pavg (b0=1,b1=1) X","Pavg (b0=1,b1=1) Y"
0,4.949594245748947e-07,0,1.100615462011487e-05,0,6.091553224578753e-06,0,1.632564877693864e-05
1,1.955014968701868e-05,1,2.849549051322927e-05,1,2.443905134287623e-05,1,3.276121284627886e-05
