/Vout (C=5e-14) X,/Vout (C=5e-14) Y,/Vout (C=1e-13) X,/Vout (C=1e-13) Y,/Vout (C=2e-13) X,/Vout (C=2e-13) Y,/Vout (C=3e-13) X,/Vout (C=3e-13) Y,/Vout (C=4e-13) X,/Vout (C=4e-13) Y,/Vout (C=5e-13) X,/Vout (C=5e-13) Y,/Vout (C=6e-13) X,/Vout (C=6e-13) Y,/Vout (C=7e-13) X,/Vout (C=7e-13) Y,/Vout (C=8e-13) X,/Vout (C=8e-13) Y,/Vout (C=9e-13) X,/Vout (C=9e-13) Y,/Vout (C=1e-12) X,/Vout (C=1e-12) Y,/Vout (C=1.1e-12) X,/Vout (C=1.1e-12) Y,/Vout (C=1.2e-12) X,/Vout (C=1.2e-12) Y,/Vin (C=5e-14) X,/Vin (C=5e-14) Y
0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,1.099999848442816,0,0
9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,1.100001614951574,9.264337782348748e-12,0.05095385780291812
1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,1.099999878923505,1.792594715549534e-11,0.09859270935522436
3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,1.099998912543153,3.524916590178853e-11,0.1938704124598369
5.848040133035375e-11,1.099998827717948,5.848040133035751e-11,1.099998827717948,5.848040133036092e-11,1.099998827717948,5.848040133036292e-11,1.099998827717948,5.848040133035931e-11,1.099998827717948,5.848040133036186e-11,1.099998827717948,5.848040133035826e-11,1.099998827717948,5.848040133036029e-11,1.099998827717948,5.848040133036029e-11,1.099998827717948,5.84804013303608e-11,1.099998827717948,5.84804013303608e-11,1.099998827717948,5.84804013303613e-11,1.099998827717948,5.848040133035669e-11,1.099998827717948,5.848040133035375e-11,0.3216422073169456
6.810337925762752e-11,1.099993605842233,6.8103379257622e-11,1.099993605842233,6.810337925762597e-11,1.099993605842233,6.810337925762158e-11,1.099993605842233,6.810337925761794e-11,1.099993605842233,6.810337925761988e-11,1.099993605842233,6.810337925761428e-11,1.099993605842233,6.810337925762116e-11,1.099993605842233,6.810337925762148e-11,1.099993605842233,6.810337925761454e-11,1.099993605842233,6.81033792576185e-11,1.099993605842233,6.810337925762211e-11,1.099993605842233,6.810337925761685e-11,1.099993605842233,6.810337925762752e-11,0.3745685859169513
8.140325198621425e-11,1.09998151017962,8.140325198829405e-11,1.099981510179619,8.140325198933954e-11,1.099981510179618,8.140325198968962e-11,1.099981510179618,8.14032519898625e-11,1.099981510179618,8.140325198996878e-11,1.099981510179618,8.140325199003638e-11,1.099981510179618,8.140325199008709e-11,1.099981510179618,8.140325199012495e-11,1.099981510179618,8.140325199015437e-11,1.099981510179618,8.140325199017789e-11,1.099981510179618,8.140325199019726e-11,1.099981510179618,8.140325199020993e-11,1.099981510179618,8.140325198621425e-11,0.4477178859241784
9.538120008157029e-11,1.099958067146566,9.538120008364509e-11,1.099958067147098,9.538120008468704e-11,1.099958067147365,9.538120008503488e-11,1.099958067147454,9.538120008520866e-11,1.099958067147499,9.538120008531435e-11,1.099958067147526,9.538120008538242e-11,1.099958067147544,9.538120008543265e-11,1.099958067147557,9.538120008547024e-11,1.099958067147566,9.538120008549909e-11,1.099958067147574,9.538120008552295e-11,1.099958067147579,9.538120008554229e-11,1.099958067147585,9.538120008555598e-11,1.099958067147589,9.538120008157029e-11,0.5245966004486367
1.072118091988444e-10,1.099903425217678,1.072118092592814e-10,1.099903425215575,1.072118092896644e-10,1.099903425214518,1.072118092998181e-10,1.099903425214164,1.072118093048986e-10,1.099903425213988,1.072118093079499e-10,1.099903425213882,1.072118093099827e-10,1.099903425213811,1.072118093114352e-10,1.09990342521376,1.072118093125254e-10,1.099903425213723,1.072118093133742e-10,1.099903425213693,1.072118093140528e-10,1.099903425213669,1.072118093146072e-10,1.09990342521365,1.072118093150682e-10,1.099903425213634,1.072118091988444e-10,0.5896649505936445
1.161606187280784e-10,1.099847225399331,1.16160618775599e-10,1.099847225408677,1.161606187994882e-10,1.099847225413375,1.16160618807472e-10,1.099847225414945,1.161606188114669e-10,1.099847225415731,1.161606188138661e-10,1.099847225416202,1.161606188154647e-10,1.099847225416517,1.161606188166064e-10,1.099847225416742,1.161606188174634e-10,1.09984722541691,1.161606188181313e-10,1.099847225417041,1.161606188186646e-10,1.099847225417146,1.161606188191004e-10,1.099847225417232,1.161606188194634e-10,1.099847225417303,1.161606187280784e-10,0.6388834030044314
