b2 ,delay b0 0 b1 0 ,delay b0 0 b1 1 ,delay b0 1 b1 0 ,delay b0 1 b1 1 
0.000,1.267E-9,237.8E-12,306.6E-12,95.80E-12
1.000,218.1E-12,94.53E-12,95.37E-12,47.81E-12
